id,nombre,distrito,lat,lon,x_m,y_m,altitud_m,col,fila,funerario
125,Wiscachani  San Bartolomé,juli,-16.192252464,-69.436692858,2781.2,4816.5,4050.0,990,639,False
126,Capilla Caracollo,juli,-16.223003039,-69.451132285,1239.7,1397.2,4228.0,938,750,False
127,Alatauyo Naironaque 1,juli,-16.219124467,-69.451357367,1215.6,1828.5,4024.7,937,736,False
128,Alatauyo  Naironaque 2,juli,-16.218627277,-69.451356236,1215.8,1883.8,4008.5,937,734,False
129,Tisnachuro Central Montículo 3,juli,-16.270354773,-69.459017437,397.9,-3868.0,3982.9,909,921,False
130,Jach`a Piñuta - Cementerio 1,juli,-16.267438726,-69.461425203,140.8,-3543.8,3982.4,901,910,False
131,Jach`a Piñuta - Cementerio 2,juli,-16.266482041,-69.460721071,216.0,-3437.4,3996.7,903,907,False
132,Jiska Piñuta - Estructura,juli,-16.266386828,-69.458774254,423.8,-3426.8,4019.7,910,906,False
133,Jisk`a Piñuta Montículo,juli,-16.266925047,-69.456520067,664.5,-3486.7,4037.6,918,908,False
134,Challuco,juli,-16.269095536,-69.45608522,710.9,-3728.0,4024.1,920,916,False
135,Jiska Piñuta - Cementerio,juli,-16.27043342,-69.456088308,710.6,-3876.8,4033.0,920,921,False
136,Jach´a Piñuta - Cementerio 3,juli,-16.268241917,-69.462044753,74.7,-3633.1,3958.0,898,913,False
137,Quilcane Montículo 1,juli,-16.277763283,-69.469142551,-683.1,-4691.8,3980.2,873,947,False
138,Willamoco o Gentilmoco,juli,-16.283934175,-69.470617289,-840.6,-5378.0,4054.1,867,969,True
139,Quilcane Montículo 2,juli,-16.280282251,-69.470552428,-833.6,-4971.9,4010.7,868,956,False
140,Quilcane Montículo 3,juli,-16.277315972,-69.471106907,-892.8,-4642.1,3981.3,866,946,False
141,Pichocollo,juli,-16.27612206,-69.471403549,-924.5,-4509.3,3976.5,865,941,False
142,Gentilpata de Lundayani,juli,-16.270790893,-69.478438019,-1675.5,-3916.5,3908.0,839,922,True
143,Pichocollo Chullpa,juli,-16.274374199,-69.472831305,-1076.9,-4315.0,3953.1,859,935,True
